circuito;nombre_circuito;establecimiento;domicilio;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD;Blancos;Nulos;1º;2º;3º;4º;5º;6º
10;SANTA FE (PARQUE SUR);E.P.I.Nº1001 SAN FRANCISCO;SAN MARTIN 1326;348;191;305;118;37;91;26;38;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
10;SANTA FE (PARQUE SUR);ESC. PRIM. Nº2 M.BELGRANO;AMENABAR 2727;281;144;284;104;40;82;20;46;LA LIBERTAD AVANZA;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
20;SANTA FE (TEATRO MUNICIPAL);E.E.T.P.Nº480 M.BELGRANO;MORENO 3054;237;105;217;86;25;64;15;28;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
20;SANTA FE (TEATRO MUNICIPAL);E.P.I.Nº1307 DRA.SARA FAISAL;CRUZ ROJA 1867;185;83;149;55;22;51;12;16;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
20;SANTA FE (TEATRO MUNICIPAL);FAC.DE CIENCIAS ECONOMICAS;MORENO 2557;197;117;170;72;40;52;11;32;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
30; SANTA FE (PUERTO);E.E.S.O. Nº440 SIMON DE IRIONDO;MENDOZA 3051;293;170;269;84;55;57;17;38;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
40;SANTA FE (CENTRO);"E.E.S. ORIENTADA NRO 442 ""JUANA DEL PINO""";4 DE ENERO 2806;241;129;211;69;39;30;18;35;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
40;SANTA FE (CENTRO);ESC.NOR.SUP.COM. Nº46 D.G.SILVA;4 DE ENERO 2806;286;137;234;87;44;46;25;38;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
50;SANTA FE (CONSTITUYENTES);ESC.IND.SUP. ANEXA A.F.I.Q.;JUNIN 2850;281;139;220;84;46;52;23;39;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
50;SANTA FE (CONSTITUYENTES);FAC.DE INGENIERIA QUIMICA;S.DEL ESTERO 2829;223;97;189;70;38;37;21;22;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
60;SANTA FE (UNIV.NAC. DEL LITORAL);ESC. PRIM. Nº9 J.J. PASO;SAN MARTIN 3459;265;111;200;89;34;26;16;31;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
60;SANTA FE (UNIV.NAC. DEL LITORAL);FAC.DE CS.JURIDICAS Y SOCIALES;CANDIDO PUJATO 2751;313;145;270;123;52;51;28;39;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);E.E.S.O. Nº 511 GRAL.JUANA AZURDUY;ENTRE RIOS 3642;230;171;108;61;48;36;9;49;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);E.E.S.O. Nº261 JOSE HERNANDEZ;AVDA GRAL LOPEZ 3217;348;266;212;133;85;49;30;105;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);E.P.I.Nº1116 SAN CAYETANO;AVDA J J PASO 3150;381;277;266;118;80;53;25;57;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);ESC. PRIM. Nº570 PASCUAL ECHAGUE;ENTRE RIOS 3642;410;309;260;113;99;34;23;87;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);ESC. PRIM. Nº8 CRISTOBAL COLON;FRANCIA 1557;362;255;274;108;100;37;14;103;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
80;SANTA FE (R.S.PEÑA);ESC. PRIM. Nº471 JUAN ARZENO;SAN JUAN 1801;350;320;299;137;117;67;21;69;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
80;SANTA FE (R.S.PEÑA);ESC.NORMAL PRIM.SUP.32 GRAL.S.MARTIN;SAAVEDRA 1751;254;255;206;95;76;37;25;49;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
80;SANTA FE (R.S.PEÑA);ESC.NORMAL.SEC.SUP.32 GRAL.S.MARTIN;SAAVEDRA 1751;335;259;246;107;83;55;15;60;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
90;SANTA FE (CANDIOTI);E.E.T.P. Nº 479 DR.MANUEL PIZARRO;AVDA GRAL PAZ 4250;258;95;209;99;32;50;22;40;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;MÁS PARA SANTA FE;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
90;SANTA FE (CANDIOTI);E.P.I Nº 1034 LA SALLE JOBSON;PASAJE HERMANOS DE LA SALLE 3251;334;182;329;137;42;68;27;41;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
90;SANTA FE (CANDIOTI);E.P.I. Nº 1244 CRIST.E.DR.O.ABDALA;BELGRANO 3845;173;89;156;74;21;23;18;32;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
90;SANTA FE (CANDIOTI);ESC. PRIM. Nº6 M.MORENO;ITUZAINGO 1814;278;111;247;89;33;40;24;33;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
90;SANTA FE (CANDIOTI);INST. SAN JOSE ADORATRICES;BV GALVEZ 1978;402;145;317;126;37;66;26;51;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
100;SANTA FE (PUENTE COLGANTE);E.E.S.O. Nº263 ALFONSO GRILLI;BALCARCE 1251;182;70;156;76;18;25;13;20;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;MÁS PARA SANTA FE;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
100;SANTA FE (PUENTE COLGANTE);ESC. Nº 1190 IV CENT.DE SANTA FE;BV GALVEZ 1375;425;222;344;150;44;54;22;51;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
100;SANTA FE (PUENTE COLGANTE);ESC. PRIM. Nº13 DR.D.VELEZ SARSFIELD;GUEMES 4189;494;216;389;180;59;77;37;55;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
100;SANTA FE (PUENTE COLGANTE);ESC. PRIM. Nº137 DR.J.DE AMENABAR;JUAN DEL CAMPILLO 842;483;223;330;174;65;80;39;65;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
110;SANTA FE (BARRIO ROMA);E.E.S.O.P.I. Nº 3084 INST. ARQ. SAN JOSE;ALFONSO DURAN 3649;171;135;178;67;39;24;10;29;LA LIBERTAD AVANZA;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
110;SANTA FE (BARRIO ROMA);E.E.T.P. Nº 601 LEANDRO N. ALEM;PJE SANTIAGO DE CHILE 2229;291;209;269;140;69;45;21;37;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
110;SANTA FE (BARRIO ROMA);E.P.I. Nº 1010 SGDO.C.DE JESUS;SAN JOSE 2369;320;228;276;123;64;44;19;50;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
110;SANTA FE (BARRIO ROMA);ESC. PRIM. Nº5 DR.LOPEZ Y PLANES;TUCUMAN 3560;301;241;293;125;63;41;24;44;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
115;SANTA FE (STA.ROSA DE LIMA);E.E.S.O. Nº 512 ALFREDO P.BRAVO;ESTRADA 2260;173;151;62;44;43;6;7;31;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
115;SANTA FE (STA.ROSA DE LIMA);E.E.S.O.P.I. Nº 2035 STA. ROSA DE LIMA;SANTIAGO DE LINIERS 4649;220;257;81;59;41;17;10;40;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
115;SANTA FE (STA.ROSA DE LIMA);E.P.I. Nº 1196 STA. ROSA DE LIMA;PJE LUIS Y NILDA SILVA;199;236;82;52;43;17;9;57;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
115;SANTA FE (STA.ROSA DE LIMA);ESC. PRIM. Nº1111 LUIS BORRUAT;AGUADO 2901;280;334;120;105;61;19;15;65;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
115;SANTA FE (STA.ROSA DE LIMA);ESC. PRIM. Nº809 DR.E.LOPEZ;ESTRADA 2290;318;329;133;100;80;27;14;59;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
120;SANTA FE (PARQUE GARAY);E.E.S.O. Nº 264 CONSTITUYENTES;AVDA PTE PERON 3158;282;138;241;97;57;39;21;32;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
120;SANTA FE (PARQUE GARAY);ESC. PRIM. Nº 1299 PADRE O. CATENA;BV PELLEGRINI 3811;129;81;144;54;20;22;10;23;LA LIBERTAD AVANZA;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
120;SANTA FE (PARQUE GARAY);ESC. PRIM. Nº 14 DR. N. AVELLANEDA;PJE SANTIAGO DE CHILE 2909;421;283;370;177;70;71;28;60;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
120;SANTA FE (PARQUE GARAY);ESC. PRIM. Nº 7 PTE.BELENO;SAAVEDRA 3076;403;268;385;169;74;70;31;78;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
130;SANTA FE (SGTO. CABRAL);E.E.T.P. Nº 478 DR. N. AVELLANEDA;PJE CALCENA 955;419;294;357;173;67;62;28;81;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
130;SANTA FE (SGTO. CABRAL);E.P.I. Nº 1144 SAN ROQUE;GUEMES 5255;386;287;305;139;61;59;33;72;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
130;SANTA FE (SGTO. CABRAL);ESC. ESP. Nº 2008 DR. J. B. VAZQUEZ;SALVADOR DEL CARRIL 2434;238;181;161;92;31;34;11;39;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
130;SANTA FE (SGTO. CABRAL);ESC. PRIM. Nº 25 DR. LUIS M. DRAGO;AVDA GRAL PAZ 5356;452;290;398;159;70;67;19;89;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
130;SANTA FE (SGTO. CABRAL);ESC. PRIM. Nº 4 SGTO.CABRAL;LAS HERAS 4720;428;299;420;167;81;59;27;81;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
130;SANTA FE (SGTO. CABRAL);ESC. PRIM. Nº 884 I.RODRIGUEZ;VELEZ SARSFIELD 5001;264;161;244;97;51;47;27;53;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
130;SANTA FE (SGTO. CABRAL);ESC.ESP.Nº 2012 GRAL.SAN MARTIN;LAPRIDA 5035;345;229;253;103;53;44;20;56;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
140;SANTA FE (BARRANQUITAS ESTE);E.E.S.T.P.P.I. Nº 8224 N. S. DE LOURDES;LUIS DUSSO 5180;336;234;275;97;72;58;22;56;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
140;SANTA FE (BARRANQUITAS ESTE);E.P.I. Nº 1145 NTRA. SRA. DE LOURDES;FRAY C RODRIGUEZ 3848;258;181;177;84;57;32;8;44;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
140;SANTA FE (BARRANQUITAS ESTE);E.P.I. Nº 1180 NTRA. SRA. DE FATIMA;FRANCIA 3900;311;246;256;105;56;42;24;50;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
140;SANTA FE (BARRANQUITAS ESTE);E.P.I. Nº 1291 L. DA VINCI (IPEI);AVDA LOPEZ Y PLANES 3513;251;153;176;55;46;39;15;41;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
140;SANTA FE (BARRANQUITAS ESTE);ESC. PRIM. Nº 18 FALUCHO;AVDA LOPEZ Y PLANES 4151;325;269;255;96;67;32;16;67;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
140;SANTA FE (BARRANQUITAS ESTE);ESC. PRIM. Nº 581 DR.R.FREYRE;QUINTANA 3533;346;245;239;104;60;39;15;79;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
140;SANTA FE (BARRANQUITAS ESTE);MINIST. DE AGRIC. Y GANADERIA;BV.PELLEGRINI 3100;241;183;208;78;43;26;10;51;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
142;SANTA FE (BARRANQUITAS OESTE);E.P.I. Nº 1408 VISION DE FUTURO;MANUEL LEIVA 3856;265;152;90;85;38;17;17;41;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
142;SANTA FE (BARRANQUITAS OESTE);ESC. PRIM. Nº 1132 CRISTO OBRERO;PADRE CATENA 4255;217;169;92;62;40;14;15;47;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
142;SANTA FE (BARRANQUITAS OESTE);ESC. PRIM. Nº 567 R. O. DEL URUGUAY;LOPEZ Y PLANES 5025;354;274;144;112;66;29;16;79;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
142;SANTA FE (BARRANQUITAS OESTE);ESC. PRIM. Nº 821 RAIMUNDO PEÑA;AVDA BLAS PARERA 5900;372;287;125;106;61;22;15;76;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
150;SANTA FE (ABASTO);E.E.S.O. Nº 265 YAPEYU;12 DE OCTUBRE 9300;345;350;149;68;47;29;17;92;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
150;SANTA FE (ABASTO);E.E.T.P. Nº 387 SAN AGUSTIN;FRAY DE AROCA 9560;251;251;92;45;33;27;11;64;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
150;SANTA FE (ABASTO);E.E.T.P.I. Nº 2025 C. NAMUNCURA;12 DE OCTUBRE 9473;339;333;129;41;41;19;20;82;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
150;SANTA FE (ABASTO);E.P.I. Nº 1225 C. NAMUNCURA;AV.12 DE OCTUBRE 9400;302;290;133;64;41;30;18;71;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
150;SANTA FE (ABASTO);E.P.I. Nº 1287 SAN LUIS GONZAGA;FRAY.D.DE ORO 9800;313;291;126;38;35;21;20;76;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
150;SANTA FE (ABASTO);ESC. PRIM. Nº 1109 H. YRIGOYEN;12 DE OCTUBRE 9300;365;327;132;73;52;31;16;94;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
150;SANTA FE (ABASTO);ESC. PRIM. Nº 1234 PROF. L. RAVERA;TENIENTE LOZA 7500;359;339;166;53;47;30;19;96;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
150;SANTA FE (ABASTO);JARDIN INF. Nº 210 PROF. E. MUTTIS;TENIENTE LOZA 7500;177;164;66;29;20;20;7;55;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
152;SANTA FE (CABAÑA LEIVA);E.E.T.P. Nº 527 BICENT. DE LA PATRIA;AVDA BLAS PARERA 10055;343;369;195;63;56;32;14;85;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
152;SANTA FE (CABAÑA LEIVA);ESC. PRIM. Nº 27 DR. J. M. GALVEZ;AVDA BLAS PARERA 10255;336;379;180;75;63;32;13;70;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
152;SANTA FE (CABAÑA LEIVA);ESC. PRIM. Nº 48 PROF.M.VICTORIA;CHACO 4500;190;185;136;35;33;10;9;40;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
